,feature,gender
1635,ishrat punjab,0
1638,aisal sindh,1
1640,huma kpk,0
1642,afshan sindh,0
1643,maqsood sindh,1
1646,rehana punjab,0
1650,rafey sindh,1
1651,ameer sindh,1
1652,ansar sindh,1
1655,mobile punjab,1
1657,akbar sindh,1
1658,nasrullah islamabad,1
1662,qaisar punjab,1
1668,amanullah sindh,1
1670,athar punjab,1
1671,fatima sindh,0
1673,alfrida sindh,0
1674,allauddin kpk,1
1676,muzammil punjab,1
1677,humair sindh,1
1679,salma kpk,0
1680,hamid kpk,0
1681,tuheer punjab,1
1682,karam punjab,1
1684,khizer sindh,1
1689,nouman kpk,1
1692,azeem sindh,1
1695,faiz punjab,1
1706,aoun punjab,1
1708,asmat punjab,0
1709,samah punjab,1
1711,fatima punjab,0
1715,asimnawaz punjab,1
1717,faiza punjab,0
1718,waleed punjab,1
1719,muhamamd sindh,1
1720,rabia sindh,0
1721,memoona sindh,0
1722,raheeb sindh,1
1723,hemraj sindh,1
1727,mir sindh,1
1730,jamil punjab,1
1734,burhan punjab,1
1739,roshandas balochistan,1
1745,zuhaib sindh,1
1749,momin sindh,1
1750,paluas punjab,1
1751,mehboob punjab,1
1756,murtza punjab,1
1757,qasim sindh,1
1760,ramesh sindh,1
1762,darshan sindh,1
1763,nizar sindh,1
1764,azam sindh,1
1765,jagdish sindh,1
1768,saeeda kpk,0
1771,saeeda sindh,0
1772,qadeer kpk,1
1773,jehan kpk,1
1774,mirza punjab,1
1775,osama sindh,1
1776,arjun sindh,1
1779,gulzar sindh,1
1780,waqas islamabad,1
1783,hamayun kpk,1
1787,aasia punjab,0
1789,vaqas sindh,1
1790,imran islamabad,1
1792,zamuri balochistan,1
1794,sarmad sindh,1
1796,pervaz sindh,1
1797,abdullah sindh,1
1800,khaista kpk,1
1802,saim punjab,1
1806,wali sindh,1
1807,shakil sindh,1
1812,khan sindh,1
1813,arman punjab,1
1814,sham sindh,1
1817,babar sindh,1
1822,noor kpk,1
1823,adel kpk,1
1825,shibli sindh,1
1829,shaukat punjab,1
1831,fasih punjab,1
1834,abu kpk,1
1836,abrar islamabad,1
1838,muti kpk,1
1840,amna sindh,0
1843,talat punjab,1
1847,abdulhameed sindh,1
1848,noushad sindh,1
1849,shahab islamabad,1
1850,afza punjab,0
1852,amrat sindh,1
1854,pirdeep sindh,1
1855,faheem kpk,1
1859,atta sindh,1
1861,mahrukh sindh,0
1863,mohammad kpk,1
1864,sumera punjab,0
1866,haider punjab,1
1867,kausar punjab,1
1880,seemab punjab,0
1884,suhrab sindh,1
1887,nighat punjab,0
1888,sonia punjab,0
1889,mr punjab,1
1891,nur sindh,1
1893,rozina punjab,0
1898,najam punjab,1
1900,faraz sindh,1
1903,mubarak sindh,1
1905,chhutal kpk,1
1909,muhammadrafiq punjab,1
1911,sonia sindh,0
1912,naji kpk,1
1915,shaheen sindh,1
1922,ambreen sindh,0
1923,dhanji sindh,1
1924,tayyab sindh,1
1927,ghzanfar punjab,1
1936,abd kpk,1
1939,shafiq sindh,1
1940,mehboob sindh,1
1943,mumtaz punjab,1
1944,shazad sindh,1
1951,masab islamabad,1
1952,adbul kpk,1
1953,sadia punjab,0
1954,idrees punjab,1
1957,maslam punjab,1
1961,irfan islamabad,1
1962,amjid kpk,1
1963,sameer punjab,1
1966,khalidbinahmed sindh,1
1978,mahboob punjab,1
1979,raheela sindh,0
1980,khola sindh,0
1981,aqib punjab,1
1983,shams sindh,1
1992,gul kpk,0
1995,ammar sindh,1
1998,amra punjab,0
2003,parveen sindh,0
2006,zaib sindh,1
2007,bukhtiar kpk,1
2009,asmat kpk,1
2011,manjhi sindh,1
2014,darhoon sindh,1
2018,chan kpk,0
2019,haleem kpk,1
2021,shah sindh,1
2030,fahid punjab,1
2031,tayab punjab,1
2038,mudasar punjab,1
2041,shazia kpk,0
2042,rahat kpk,1
2046,naseer punjab,1
2049,muzammil sindh,1
2053,anisa punjab,0
2058,tusif punjab,1
2061,grace punjab,0
2063,mehr kpk,1
2064,ejaz islamabad,1
2069,sajida punjab,0
2072,anonymes sindh,1
2073,awan punjab,1
2076,razia punjab,0
2082,chanda punjab,0
2083,sundus punjab,0
2086,boota punjab,1
2092,sadaf punjab,0
2093,dildar punjab,1
2102,rano sindh,1
2106,gobind sindh,1
2108,ramla sindh,0
2110,ammaranwer sindh,1
2111,shanawz sindh,1
2112,musavir sindh,1
2117,shabbir punjab,1
2119,safia punjab,0
2121,rabia punjab,0
2122,sheroz punjab,1
2123,anil punjab,1
2125,shahzad kpk,1
2126,jawad sindh,1
2127,fazal sindh,1
2129,raees kpk,1
2131,habibullah sindh,1
2132,yousif sindh,1
2134,david punjab,1
2135,furrakh punjab,1
2136,homair sindh,1
2137,jasim sindh,1
2138,chater sindh,1
2145,azam punjab,1
2146,shabab sindh,1
2147,furqan sindh,1
2149,mohamamd sindh,1
2150,rauf kpk,1
2151,din punjab,1
2155,salim sindh,1
2156,yasin sindh,1
2158,iftikhar kpk,1
2159,ayesha punjab,0
2161,khurram punjab,1
2163,kamran sindh,1
2166,samina punjab,0
2168,gul sindh,0
2171,shahbaz kpk,1
2174,arsala kpk,1
2175,yaswa punjab,1
2180,soban punjab,1
2182,omer kpk,1
2183,fareed sindh,1
2186,mansoor punjab,1
2191,arnus sindh,1
2196,aqeel punjab,1
2198,mavia punjab,1
2200,wahab sindh,1
2202,anis sindh,0
2203,abid sindh,1
2208,farooq sindh,1
2213,abul sindh,1
2214,atif kpk,1
2215,nasrullah kpk,1
2217,mishal punjab,0
2218,kulsum sindh,0
2221,shahmir sindh,1
2223,hassam kpk,1
2228,dawood sindh,1
2229,jan kpk,1
2234,noman kpk,1
2235,naila punjab,0
2242,lubna sindh,0
2244,zargham sindh,1
2245,adil kpk,1
2246,spin kpk,1
2256,bakhtullah kpk,1
2257,zar kpk,1
2258,jasim punjab,1
2259,zoheer punjab,1
2261,saadia sindh,0
2262,abdaan punjab,1
2268,hanzla punjab,1
2273,alamzeb kpk,1
2275,jawed sindh,1
2278,jalil sindh,1
2279,anzar punjab,1
2283,gul balochistan,1
2287,zari kpk,1
2288,muqeem sindh,1
2289,hasnain sindh,1
2291,rahila punjab,0
2293,zohaib sindh,1
2294,bari balochistan,1
2296,mjamil punjab,1
2300,owais punjab,1
2302,ayub sindh,1
2304,sandip sindh,1
2305,koshila sindh,0
2306,awias punjab,1
2308,arbelo sindh,1
2309,hosama punjab,1
2310,aasim punjab,1
2311,rohan punjab,1
2314,gulwaiz kpk,1
2316,tofiq sindh,1
2320,shehzad punjab,1
2324,kashan punjab,1
2325,huma punjab,0
2327,wazeer punjab,1
2333,lajpat sindh,1
2337,bilal balochistan,1
2338,aaftab punjab,1
